Distance_km,Traffic_Level,Weather,Road_Type,Vehicle_Type,Avg_Speed_kmph,Number_of_Signals,Day_of_Week,Time_of_Day,Travel_Time_Minutes
43.7,Medium,Cloudy,Highway,Car,66.4,8,Thursday,Night,43.6
44.3,Medium,Clear,Rural,Car,54.2,9,Tuesday,Morning,59.1
18.8,Medium,Clear,Rural,Car,43.4,6,Wednesday,Evening,32.2
6.0,High,Rain,City,Car,15.4,12,Thursday,Evening,38.6
36.8,Medium,Clear,Rural,Bike,54.3,8,Sunday,Afternoon,45.4
17.0,High,Clear,City,Bike,21.4,15,Monday,Morning,61.8
39.6,Medium,Clear,Rural,Bike,61.7,9,Thursday,Night,43.6
23.2,Medium,Clear,Highway,Bike,71.4,5,Wednesday,Morning,23.4
25.3,Medium,Rain,City,Bus,26.0,15,Wednesday,Night,71.5
39.3,Low,Cloudy,Highway,Bike,73.7,8,Sunday,Peak Hour,42.5
20.4,Medium,Rain,Highway,Bike,72.0,5,Monday,Afternoon,24.6
23.3,Medium,Clear,Highway,Car,68.6,5,Thursday,Evening,25.1
20.1,Low,Clear,City,Car,46.1,14,Thursday,Evening,29.5
19.6,High,Clear,City,Car,24.4,16,Monday,Afternoon,56.0
27.2,Medium,Clear,City,Bike,40.2,16,Thursday,Peak Hour,59.5
40.8,Medium,Clear,Highway,Car,54.5,8,Saturday,Peak Hour,55.7
19.4,High,Rain,City,Car,22.6,16,Monday,Afternoon,70.5
27.2,Medium,Clear,City,Bus,24.6,16,Tuesday,Evening,73.7
34.2,Low,Cloudy,City,Bus,36.0,18,Wednesday,Peak Hour,71.5
14.9,High,Clear,City,Bus,15.0,14,Tuesday,Peak Hour,72.5
15.3,Medium,Clear,Highway,Car,69.6,4,Saturday,Evening,16.6
46.8,Low,Clear,Highway,Bike,82.3,9,Sunday,Evening,35.9
36.7,Low,Fog,Rural,Car,41.0,8,Saturday,Afternoon,61.2
29.7,High,Rain,Highway,Car,38.6,8,Friday,Peak Hour,62.3
33.1,Medium,Fog,City,Car,30.7,17,Friday,Morning,75.0
3.4,Medium,Clear,Rural,Car,47.7,3,Friday,Evening,10.6
31.7,High,Clear,City,Car,32.7,19,Monday,Afternoon,69.1
26.5,High,Cloudy,Highway,Bike,61.6,8,Thursday,Afternoon,34.3
28.2,Low,Clear,Highway,Car,76.1,6,Saturday,Afternoon,24.7
19.3,Low,Rain,Highway,Bike,65.8,5,Tuesday,Peak Hour,26.2
5.9,Low,Clear,City,Car,50.4,10,Sunday,Morning,10.4
11.3,Medium,Clear,City,Car,27.7,11,Tuesday,Evening,28.7
47.6,Low,Clear,Highway,Car,86.7,9,Tuesday,Morning,34.8
21.6,Medium,Clear,Rural,Car,51.8,6,Tuesday,Morning,29.5
24.4,High,Cloudy,City,Bike,34.9,17,Sunday,Afternoon,57.7
4.5,High,Clear,Highway,Car,48.7,5,Friday,Evening,13.4
3.8,Low,Clear,City,Car,55.0,9,Tuesday,Afternoon,9.6
36.4,High,Clear,City,Car,36.9,20,Sunday,Afternoon,72.4
27.8,Low,Clear,Highway,Car,74.7,6,Sunday,Morning,26.4
26.4,High,Rain,Highway,Bus,45.1,8,Thursday,Afternoon,43.9
13.7,Low,Rain,City,Car,34.0,12,Sunday,Peak Hour,33.7
37.7,Medium,Fog,City,Bike,18.8,19,Friday,Peak Hour,140.1
10.1,High,Rain,City,Bike,27.0,13,Tuesday,Afternoon,37.2
11.1,Low,Clear,City,Bus,42.3,11,Sunday,Evening,21.6
24.1,Low,Cloudy,Highway,Bike,71.6,5,Monday,Peak Hour,26.4
15.7,Medium,Clear,Highway,Bike,79.7,4,Sunday,Morning,14.2
13.9,Medium,Clear,City,Bike,38.3,12,Wednesday,Night,29.4
33.0,Medium,Rain,Highway,Bus,40.0,7,Wednesday,Peak Hour,61.0
33.2,Medium,Clear,Highway,Car,70.5,7,Wednesday,Morning,33.7
41.6,Medium,Rain,City,Car,32.1,20,Sunday,Morning,92.3
22.1,Low,Clear,Rural,Car,49.1,6,Friday,Peak Hour,34.7
5.5,Low,Cloudy,City,Bike,52.2,10,Tuesday,Evening,9.4
15.1,Low,Cloudy,Rural,Bike,64.1,5,Saturday,Morning,17.8
49.0,High,Rain,Highway,Car,53.4,11,Saturday,Afternoon,67.7
30.6,Medium,Cloudy,Rural,Bike,48.5,7,Saturday,Evening,39.8
36.1,Medium,Cloudy,Highway,Car,69.4,7,Friday,Night,39.8
2.4,Medium,Clear,Rural,Car,48.2,3,Thursday,Night,9.2
26.9,High,Cloudy,Rural,Bus,27.2,9,Monday,Peak Hour,76.7
3.8,Low,Clear,City,Car,46.7,9,Monday,Afternoon,6.0
29.3,Medium,Cloudy,Rural,Car,52.4,7,Wednesday,Evening,38.1
46.2,Medium,Cloudy,City,Bike,39.1,21,Wednesday,Evening,86.2
48.5,Medium,Cloudy,Highway,Bike,66.5,9,Sunday,Afternoon,48.2
27.9,Low,Clear,City,Car,55.5,16,Saturday,Morning,39.6
24.0,High,Clear,City,Bike,25.5,17,Sunday,Peak Hour,78.3
47.4,High,Cloudy,Highway,Car,50.4,11,Saturday,Peak Hour,70.9
34.3,Medium,Clear,City,Car,41.9,18,Wednesday,Evening,60.3
5.1,Medium,Clear,Rural,Car,48.4,4,Tuesday,Evening,12.0
24.4,High,Clear,Highway,Bike,60.6,7,Thursday,Afternoon,34.3
13.5,Medium,Fog,City,Car,28.9,12,Sunday,Evening,39.1
24.6,Low,Cloudy,Rural,Bus,49.0,7,Thursday,Night,32.2
23.9,Medium,Clear,Rural,Bike,54.7,6,Thursday,Evening,30.3
29.9,Medium,Clear,Rural,Bus,25.4,7,Thursday,Peak Hour,81.3
19.1,Medium,Clear,City,Car,38.8,13,Wednesday,Evening,34.3
9.9,Medium,Rain,Rural,Bus,31.4,4,Monday,Afternoon,25.5
26.2,High,Cloudy,City,Car,31.6,17,Wednesday,Night,59.9
41.8,High,Clear,Highway,Car,60.5,10,Thursday,Morning,48.8
33.9,Medium,Clear,City,Car,41.0,18,Wednesday,Afternoon,62.9
18.2,Low,Clear,City,Car,51.9,13,Thursday,Afternoon,25.0
46.9,High,Cloudy,Highway,Bike,56.0,11,Friday,Afternoon,61.9
45.8,High,Rain,City,Car,26.5,23,Saturday,Night,121.4
12.0,Low,Clear,City,Car,55.0,11,Monday,Evening,17.8
3.9,High,Clear,Highway,Bike,64.6,5,Friday,Night,12.8
37.6,High,Clear,City,Car,31.4,21,Tuesday,Evening,82.5
41.7,Medium,Fog,City,Bike,30.7,20,Wednesday,Afternoon,102.6
48.5,Medium,Clear,City,Car,36.8,22,Tuesday,Night,91.2
44.7,Medium,Rain,Highway,Bike,67.2,8,Sunday,Afternoon,45.3
30.8,Low,Cloudy,Highway,Bike,83.7,6,Wednesday,Afternoon,23.2
27.4,Low,Clear,City,Car,45.4,16,Saturday,Evening,40.5
3.3,High,Clear,Rural,Car,40.2,5,Friday,Afternoon,13.9
13.8,Low,Clear,Highway,Car,81.2,4,Saturday,Morning,14.4
24.1,Low,Cloudy,City,Bike,45.0,15,Sunday,Evening,34.9
32.2,Medium,Rain,Highway,Car,61.1,7,Thursday,Evening,41.2
28.7,Medium,Cloudy,Highway,Car,67.5,6,Saturday,Evening,30.9
37.6,High,Cloudy,City,Car,17.7,21,Saturday,Peak Hour,145.6
15.4,Low,Clear,City,Car,51.6,12,Thursday,Evening,22.1
29.1,Low,Fog,Highway,Car,55.1,6,Wednesday,Peak Hour,43.8
6.2,Medium,Rain,City,Bike,38.9,10,Thursday,Morning,22.1
21.9,Medium,Clear,Highway,Car,62.3,5,Friday,Evening,26.2
38.0,Low,Fog,City,Car,25.5,19,Saturday,Peak Hour,103.4
35.3,Medium,Cloudy,City,Bike,36.5,18,Thursday,Evening,65.4
49.6,Low,Cloudy,Highway,Bike,78.2,9,Sunday,Night,41.9
15.3,Low,Cloudy,Highway,Car,74.8,4,Sunday,Afternoon,11.3
25.9,Medium,Rain,City,Car,31.1,15,Saturday,Morning,62.0
17.8,Medium,Cloudy,Rural,Car,47.3,6,Friday,Evening,29.5
23.1,High,Clear,Rural,Bus,28.7,8,Tuesday,Afternoon,55.4
43.1,Medium,Clear,Highway,Car,55.7,8,Friday,Peak Hour,57.2
34.8,Medium,Rain,City,Bus,28.6,18,Monday,Afternoon,84.7
44.4,Medium,Clear,City,Bike,33.7,21,Monday,Peak Hour,92.4
11.8,Low,Clear,City,Car,41.8,11,Monday,Peak Hour,27.1
43.9,Medium,Clear,City,Car,41.8,21,Saturday,Afternoon,77.3
4.9,Low,Clear,Rural,Car,60.8,4,Sunday,Afternoon,7.6
44.7,High,Cloudy,Rural,Car,31.4,11,Wednesday,Peak Hour,99.0
17.8,Low,Rain,City,Car,35.9,13,Sunday,Peak Hour,39.4
17.1,Medium,Clear,City,Bike,38.6,13,Wednesday,Evening,33.4
26.6,Low,Clear,City,Bus,50.7,16,Wednesday,Afternoon,33.2
47.2,High,Clear,Highway,Bike,60.8,11,Sunday,Evening,57.6
4.3,Medium,Rain,City,Bike,36.4,9,Saturday,Night,15.5
18.9,Medium,Cloudy,City,Car,40.9,13,Friday,Afternoon,37.7
43.1,Low,Clear,City,Car,51.0,20,Wednesday,Night,58.6
21.0,Medium,Rain,Highway,Car,63.6,5,Tuesday,Morning,23.4
11.6,Low,Rain,Highway,Bike,87.0,4,Sunday,Morning,10.7
22.4,High,Rain,Rural,Bus,20.9,8,Sunday,Afternoon,71.7
20.5,Low,Rain,Highway,Bike,75.7,5,Monday,Afternoon,17.9
45.9,Low,Clear,City,Car,50.5,21,Friday,Afternoon,64.7
38.6,Low,Rain,Highway,Car,73.3,8,Monday,Evening,40.1
26.2,Medium,Clear,Highway,Bike,69.0,6,Sunday,Afternoon,27.9
49.4,Medium,Rain,Highway,Car,54.1,9,Sunday,Morning,63.4
24.3,Low,Cloudy,Highway,Bike,79.7,5,Wednesday,Afternoon,18.7
4.8,High,Rain,Rural,Bike,20.5,6,Friday,Peak Hour,25.3
14.6,Medium,Cloudy,Highway,Bike,70.3,4,Thursday,Afternoon,15.3
22.9,Medium,Clear,Rural,Car,49.0,6,Tuesday,Evening,33.0
9.5,Medium,Cloudy,City,Car,30.4,11,Wednesday,Evening,23.6
47.5,Medium,Fog,City,Car,15.0,22,Sunday,Peak Hour,211.4
38.8,Medium,Rain,City,Car,32.3,19,Wednesday,Afternoon,82.3
14.9,Low,Clear,City,Car,53.5,12,Tuesday,Night,18.8
30.4,Low,Clear,City,Bike,48.2,17,Sunday,Night,44.5
36.6,High,Clear,Highway,Bike,63.3,9,Tuesday,Evening,42.5
47.2,High,Cloudy,City,Car,28.3,23,Thursday,Morning,118.4
44.3,Medium,Rain,Rural,Car,45.8,9,Wednesday,Night,68.4
26.7,Low,Clear,Rural,Car,64.9,7,Saturday,Morning,29.3
39.2,Medium,Cloudy,Rural,Car,52.8,9,Wednesday,Evening,53.3
29.0,Medium,Rain,City,Bike,35.6,16,Monday,Night,63.2
28.5,Low,Cloudy,City,Car,47.4,16,Friday,Morning,39.3
7.5,Low,Cloudy,City,Car,45.3,10,Friday,Night,15.4
8.1,Medium,Cloudy,City,Car,37.0,10,Monday,Morning,20.1
27.4,Medium,Cloudy,Highway,Bus,65.1,6,Sunday,Night,30.5
14.9,Low,Clear,City,Bike,46.6,12,Friday,Evening,26.8
3.0,Low,Cloudy,Highway,Car,73.6,2,Tuesday,Morning,3.0
36.7,Low,Cloudy,Highway,Car,82.5,7,Friday,Morning,25.8
3.6,Medium,Rain,Rural,Bike,43.1,4,Friday,Peak Hour,16.5
30.6,Low,Cloudy,Highway,Bus,67.5,6,Monday,Morning,32.7
27.9,Low,Rain,Highway,Car,75.4,6,Sunday,Morning,23.5
48.5,High,Clear,Highway,Bus,51.4,11,Thursday,Afternoon,66.4
25.2,Low,Clear,Rural,Bus,55.0,7,Friday,Evening,30.2
5.1,Medium,Clear,City,Bus,29.3,9,Saturday,Evening,18.2
28.5,Low,Clear,City,Bike,59.1,16,Friday,Morning,36.3
42.4,Low,Cloudy,City,Bike,62.6,20,Thursday,Afternoon,48.9
49.8,Low,Fog,City,Car,40.4,22,Monday,Afternoon,88.9
22.7,Medium,Clear,Highway,Bike,75.2,5,Thursday,Morning,19.6
17.4,High,Clear,City,Car,30.9,15,Monday,Afternoon,48.1
45.5,High,Rain,City,Bike,23.5,23,Tuesday,Night,135.6
11.2,Medium,Clear,City,Car,49.6,11,Monday,Morning,21.8
31.5,Medium,Cloudy,Highway,Bike,72.7,6,Tuesday,Afternoon,29.2
21.5,Low,Cloudy,Rural,Bike,60.9,6,Tuesday,Afternoon,21.5
4.0,Low,Cloudy,City,Car,35.7,9,Monday,Peak Hour,17.6
18.7,High,Clear,Highway,Bike,59.4,7,Saturday,Peak Hour,41.0
14.7,Low,Clear,City,Car,53.5,12,Wednesday,Night,21.9
34.9,Low,Rain,Highway,Bike,75.0,7,Monday,Afternoon,35.2
47.5,Low,Cloudy,Highway,Car,79.3,9,Friday,Morning,40.5
14.9,Low,Clear,City,Car,44.0,12,Saturday,Afternoon,25.0
41.0,Low,Rain,Highway,Bus,64.7,8,Saturday,Afternoon,44.5
4.7,Medium,Clear,City,Car,38.8,9,Friday,Evening,16.1
27.8,Medium,Cloudy,City,Bike,48.8,16,Wednesday,Night,41.8
5.4,High,Clear,Highway,Car,46.9,5,Saturday,Peak Hour,21.1
46.8,High,Fog,Rural,Car,20.9,12,Tuesday,Night,151.3
38.8,Low,Clear,Highway,Car,76.4,8,Wednesday,Afternoon,36.7
33.6,Low,Clear,Highway,Bike,79.7,7,Sunday,Night,26.2
41.5,Medium,Clear,Highway,Car,75.3,8,Friday,Afternoon,39.0
33.1,Medium,Clear,Highway,Car,76.2,7,Wednesday,Morning,32.2
48.5,Low,Rain,Highway,Car,73.3,9,Monday,Night,45.7
36.3,Medium,Fog,City,Car,32.9,18,Wednesday,Morning,79.5
46.4,Medium,Clear,Rural,Bus,42.5,10,Tuesday,Afternoon,72.8
26.8,Medium,Clear,Highway,Bus,61.6,6,Monday,Afternoon,29.2
7.6,Medium,Cloudy,City,Car,35.7,10,Thursday,Night,17.1
27.4,Low,Rain,City,Bike,45.8,16,Friday,Night,47.3
8.1,High,Cloudy,City,Car,18.8,12,Friday,Afternoon,36.1
30.4,High,Clear,City,Bike,34.1,19,Wednesday,Night,65.5
25.2,Low,Clear,Highway,Bike,84.8,6,Saturday,Afternoon,19.5
31.9,High,Cloudy,Highway,Bus,47.0,9,Monday,Evening,46.5
2.5,Medium,Clear,City,Car,40.4,9,Thursday,Night,7.8
11.4,High,Cloudy,City,Bike,29.3,13,Monday,Night,37.2
25.6,High,Clear,Highway,Car,46.5,8,Friday,Peak Hour,42.8
47.6,Medium,Rain,City,Bus,24.3,22,Monday,Afternoon,132.2
20.4,Low,Clear,Rural,Car,60.0,6,Thursday,Evening,20.7
22.4,Low,Cloudy,City,Bike,44.4,14,Saturday,Evening,38.9
36.3,Medium,Clear,Rural,Bike,47.3,8,Wednesday,Peak Hour,57.1
31.0,Medium,Cloudy,City,Bike,42.9,17,Tuesday,Morning,50.4
16.3,Low,Clear,City,Car,47.1,13,Monday,Night,25.1
21.7,Low,Cloudy,City,Bus,33.6,14,Tuesday,Evening,44.7
12.4,High,Cloudy,City,Car,25.9,14,Friday,Afternoon,39.4
48.4,High,Cloudy,Highway,Bike,52.5,11,Wednesday,Evening,64.2
8.3,Medium,Cloudy,City,Car,38.4,10,Sunday,Afternoon,19.4
19.8,Low,Cloudy,City,Car,40.4,14,Wednesday,Evening,35.8
3.2,Low,Rain,Highway,Car,68.3,2,Monday,Peak Hour,13.0
12.6,Low,Clear,City,Car,56.4,12,Saturday,Evening,18.8
39.5,High,Rain,City,Car,15.0,21,Wednesday,Evening,177.0
11.7,Low,Clear,Rural,Car,59.1,5,Monday,Evening,13.5
5.8,Medium,Clear,Highway,Car,67.1,3,Monday,Morning,4.6
24.8,Low,Clear,Highway,Bike,89.2,6,Tuesday,Afternoon,18.5
2.5,Medium,Clear,City,Bus,23.9,9,Wednesday,Evening,13.3
6.1,Medium,Rain,Highway,Car,63.9,3,Monday,Afternoon,9.6
40.8,High,Cloudy,City,Car,21.5,22,Tuesday,Morning,126.5
39.0,Low,Rain,City,Car,38.2,19,Thursday,Evening,71.8
45.9,Low,Cloudy,Highway,Car,72.9,9,Sunday,Afternoon,39.6
43.0,Low,Clear,City,Bike,58.3,20,Tuesday,Afternoon,55.9
34.8,High,Clear,City,Bike,26.7,20,Tuesday,Evening,92.7
4.5,High,Clear,City,Car,30.2,11,Monday,Morning,21.4
39.6,Medium,Clear,Rural,Car,40.6,9,Friday,Peak Hour,67.8
42.6,Medium,Clear,City,Car,31.5,20,Friday,Peak Hour,100.0
40.4,Medium,Clear,City,Bike,45.6,20,Saturday,Night,58.5
26.4,Low,Cloudy,City,Bus,36.0,16,Friday,Morning,49.2
13.2,High,Cloudy,City,Car,25.8,14,Tuesday,Night,44.2
42.6,Medium,Fog,Rural,Car,44.1,9,Saturday,Night,70.0
36.9,Medium,Rain,City,Bus,20.9,19,Monday,Night,121.2
49.1,Medium,Cloudy,City,Bus,33.7,22,Wednesday,Morning,100.4
9.5,Low,Clear,Rural,Car,63.0,4,Sunday,Evening,9.3
12.8,Low,Cloudy,Highway,Car,73.7,4,Sunday,Night,11.5
12.2,Medium,Rain,City,Car,23.2,11,Tuesday,Evening,38.8
40.0,Low,Clear,Highway,Bike,83.2,8,Tuesday,Evening,30.8
11.0,Medium,Clear,Highway,Car,64.8,4,Saturday,Evening,13.6
5.2,Low,Rain,Highway,Car,76.5,3,Monday,Evening,10.4
49.9,Medium,Clear,Rural,Bike,55.1,10,Thursday,Morning,58.1
3.2,Low,Cloudy,Rural,Car,50.8,3,Tuesday,Evening,4.8
42.1,Medium,Cloudy,City,Bike,37.4,20,Thursday,Morning,77.7
19.5,Medium,Clear,City,Car,44.4,14,Thursday,Afternoon,32.7
42.4,Low,Clear,City,Car,47.7,20,Friday,Afternoon,60.9
28.6,Medium,Clear,Rural,Bike,52.2,7,Monday,Evening,37.2
45.3,Medium,Clear,City,Car,43.8,21,Sunday,Morning,73.7
46.5,Medium,Clear,City,Bus,30.1,21,Sunday,Night,101.8
2.4,High,Rain,Highway,Car,49.8,4,Thursday,Night,16.0
5.6,Medium,Clear,City,Car,39.9,10,Sunday,Morning,15.0
14.0,Low,Cloudy,City,Bike,54.7,12,Monday,Morning,18.2
34.1,Low,Clear,City,Car,52.4,18,Friday,Morning,45.6
44.6,Low,Rain,Highway,Bus,55.1,8,Monday,Peak Hour,65.3
24.1,Medium,Clear,City,Car,37.3,15,Tuesday,Evening,48.2
31.1,Low,Clear,Highway,Car,75.5,6,Thursday,Evening,27.3
11.0,Medium,Rain,City,Car,26.1,11,Monday,Morning,34.6
40.6,Medium,Rain,Rural,Car,40.0,9,Sunday,Evening,68.2
48.4,Low,Clear,City,Bike,54.6,22,Wednesday,Peak Hour,61.9
14.9,High,Rain,Highway,Bike,51.5,6,Monday,Night,27.7
25.8,Low,Clear,City,Car,43.9,15,Thursday,Evening,37.4
6.1,Low,Clear,City,Car,46.5,10,Friday,Morning,13.1
28.8,Medium,Clear,City,Bike,47.9,16,Sunday,Morning,46.4
26.1,Medium,Clear,Rural,Bus,43.8,7,Friday,Morning,39.9
8.9,Medium,Cloudy,Highway,Car,66.4,3,Thursday,Afternoon,9.1
23.2,Medium,Clear,City,Car,36.3,15,Sunday,Morning,46.6
18.0,Low,Clear,City,Car,50.4,13,Tuesday,Afternoon,26.6
27.0,High,Cloudy,Rural,Bus,20.7,9,Sunday,Afternoon,91.6
30.1,High,Rain,Highway,Car,42.6,8,Tuesday,Peak Hour,61.4
2.4,Medium,Clear,City,Car,40.5,9,Friday,Evening,6.3
38.5,Low,Cloudy,City,Bike,47.0,19,Friday,Night,53.3
36.2,Medium,Clear,City,Car,33.9,18,Thursday,Night,75.0
19.6,Medium,Rain,Highway,Car,68.3,5,Tuesday,Morning,25.6
4.5,Low,Cloudy,Rural,Car,54.6,4,Friday,Night,4.1
38.2,High,Fog,Highway,Car,50.5,9,Tuesday,Afternoon,62.9
47.8,Low,Clear,Highway,Car,76.4,9,Friday,Evening,39.5
13.5,High,Clear,Highway,Car,57.4,6,Sunday,Afternoon,21.5
17.5,Medium,Clear,Rural,Car,43.8,5,Monday,Peak Hour,32.3
